site	species	year	date	individual	period	subindividual	flower	pollinaria_removed	pollen_on_stigma	herbivory	recorder	writer	notes	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	41	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	41	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	41	NA	NA	5	2	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	42	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	42	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	42	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	42	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	42	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	43	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	43	NA	NA	2	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	43	NA	NA	3	1	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	43	NA	NA	4	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	43	NA	NA	5	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	44	NA	NA	1	1	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	44	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	44	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	44	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	44	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	45	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	45	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	45	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	45	NA	NA	4	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	45	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	46	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	46	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	46	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	46	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	46	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	47	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	47	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	47	NA	NA	3	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	47	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	47	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	48	NA	NA	1	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	48	NA	NA	2	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	48	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	48	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	48	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	49	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	49	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	49	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	49	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	49	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	50	NA	NA	1	0	0	NA	MH	PJ	NA	
